JAHR;MONAT;ZAEHLSTELLE;FAHRZEUGKLASSE;ANZAHL
2023;12;632;Kfz <= 3,5t hzG;10281.0
2023;12;7140;Kfz;9670.0
2023;12;7140;Kfz > 3,5t hzG;1374.0
2023;12;7140;Kfz <= 3,5t hzG;8296.0
2023;12;638;Kfz;37901.0
2023;12;638;Kfz > 3,5t hzG;6627.0
2023;12;638;Kfz <= 3,5t hzG;31274.0
2023;12;96;Kfz;39431.0
2023;12;96;Kfz > 3,5t hzG;6868.0
2023;12;96;Kfz <= 3,5t hzG;32563.0
2023;12;103;Kfz;37745.0
2023;12;103;Kfz > 3,5t hzG;6751.0
2023;12;103;Kfz <= 3,5t hzG;30994.0
2023;12;122;Kfz > 3,5t hzG;7624.0
2023;12;87;Kfz > 3,5t hzG;7070.0
2023;12;152;Kfz;41429.0
2023;12;152;Kfz > 3,5t hzG;7061.0
2023;12;152;Kfz <= 3,5t hzG;34368.0
2023;12;164;Kfz;48016.0
2023;12;164;Kfz > 3,5t hzG;7161.0
2023;12;164;Kfz <= 3,5t hzG;40855.0
2023;12;172;Kfz;47549.0
2023;12;172;Kfz > 3,5t hzG;7275.0
2023;12;172;Kfz <= 3,5t hzG;40274.0
2023;12;8046;Kfz;48659.0
2023;12;8046;Kfz > 3,5t hzG;7069.0
2023;12;8046;Kfz <= 3,5t hzG;41590.0
2023;12;464;Kfz;53504.0
2023;12;464;Kfz > 3,5t hzG;7208.0
2023;12;464;Kfz <= 3,5t hzG;46296.0
2023;12;495;Kfz;67611.0
2023;12;495;Kfz > 3,5t hzG;7350.0
2023;12;495;Kfz <= 3,5t hzG;60261.0
2023;12;518;Kfz;48102.0
2023;12;518;Kfz > 3,5t hzG;2004.0
2023;12;518;Kfz <= 3,5t hzG;46098.0
2023;12;557;Kfz;60834.0
2023;12;557;Kfz > 3,5t hzG;3293.0
2023;12;557;Kfz <= 3,5t hzG;57541.0
2023;12;644;Kfz;38998.0
2023;12;644;Kfz > 3,5t hzG;2910.0
2023;12;644;Kfz <= 3,5t hzG;36088.0
2023;12;650;Kfz;37581.0
2023;12;650;Kfz > 3,5t hzG;2571.0
2023;12;650;Kfz <= 3,5t hzG;35010.0
2023;12;656;Kfz;35392.0
2023;12;656;Kfz > 3,5t hzG;2548.0
2023;12;656;Kfz <= 3,5t hzG;32844.0
2023;12;662;Kfz;27298.0
2023;12;662;Kfz > 3,5t hzG;2069.0
2023;12;662;Kfz <= 3,5t hzG;25229.0
2023;12;668;Kfz;21611.0
